,review
58,"this place is perfect for a date night or lunch out with friends! The Salmon fettuccine and prosciutto burrata pizza were great! We had a big party of 18 and they were able to accommodate us since we called and made a reservation ahead. The staff here is amazing, friendly and helpful! the restaurant is decorated very nicely. Definitely recommend this place!"
59,"I mean... come on, if you walk pass this place, you are instantly sucked in by the open concept giving you a full view of their bar and alcohol selection with the aromas of delicious food being cooked and served. Bottega has always been recommended by my coworkers so I had an opportunity to take the family a few weeks back. Nicky, our server, was so welcoming by treating us like we were regulars. She made recommendations, told us the special of the day, and also took note of our daughter's food allergies. Kids were being basic yet again, ordering a pasta with butter and another one with meatballs. My wife and I shared calamari fritti, lasagna and they were kind enough to split the branzino for us. Food was fantastic with the branzino being the highlight of our dining experience. Fish was cooked to perfection, capers and potatoes were a nice touch, and everything was seasoned perfectly! I would come back just for this!Cocktails were tasty and beautiful... solid wine selection as well! Thank you Nicky for making us feel so welcomed!"
60,"3.5/5 My friend discovered Bottega on a whim so he made a quick reservation on Resy. We were a party of 7 and at the time, their layout on the floor did not have a table for us but they were able to rearrange the tables to create a big enough table for us. They're very accommodating so we appreciated that. After a couple at the table next to us were done and left, the staff added their table to ours to create more space for us which worked out perfectly because 2 people in our party got added and it was just the right amount of table space. They have complimentary focaccia bread here with olive oil which we were very excited about. We ordered a few appetizers to start: funghi bruschetta, burrata aila caprese, pohodori bruschetta, and carciofi (artichoke hearts). All of these were great starters. I was the most impressed with the pohodori bruschetta which just looks like chopped tomatoes on bread but the tomatoes had so much flavor that you couldn't even taste the tomato flavor. The burrata was great paired with the complimentary bread. The carrciofi was delicious paired with the garlic aioli that comes with it. The truffle oil was very fragrant and strong on the funghi bruschetta but it was a crowd favorite. For the main dishes, I ordered the Spaghetti con Le Polpette which is your basic spaghetti and meatballs. I enjoyed the spaghetti noodles but thought the meatballs lacked something. My friends ordered the gnocchi in pink sauce and the meezelune al porcini and those were bomb. I enjoyed their dishes more than mine. The ambiance and service were pretty good though we did feel like the servers kept their eyes on us quite a lot near the end of our dinner. I definitely recommend to visit at least one time!"
61,"The interior of this restaurant is so beautiful! It was well sun lit inside and we were seated immediately on a Sunday afternoon.We ended up getting the Gnocchi with Bolognese, the daily Pasta Special which included a variety of seafood with a tomato sauce (our personal favorite!) and the Mezzemaniche Boscaiola with the pink sauce. The pastas were really tasty but we made the mistake of ordering 3 tomato based pastas instead of trying a white sauce haha. Another thing to note is that the Bolognese sauce is an additional cost! We ordered the Gnocchi thinking the Bolognese was one of the choices of sauces included in the price, as the menu doesn't make it clear, and it ended up being an additional $6 on top of the $19."
62,"Ambiance :5/5Food:3.5/5Service: 5/5Food came out accordingly but I feel that the busser or table runners planned to charge us for water. Instead of giving us regular table water they gave us a bottle when we first sat down and was charged for it without our knowledge. Felt sus. We had to pay it in the end bc we ended up drinking it. Our server was great and super helpful and looked even confused why we were given a bottle before she arrived to our table. Ambiance was very nice and lots of decor. Pasta was all fresh and delicious, one spaghetti and meatball dish our table ordered was a little undercooked but he didn't bring it up. Burrata and crab cakes were delicious. I had the rigatoni and it was great texture and flavor, the lobster ravioli was great in terms of sauce and texture. The margarita pizza was a little bit of a disappointment, it came out a regular cheese pizza instead with one basil leaf to distinguish it as such."
63,"I came to visit Bottega for a date night. It was our first time at the restaurant and we ordered the pasta. We were about to try a build your own pasta and the waiter recommended that the combinations we had simply did not work. Since they were confident on their word, we asked for a recommendation and opted for the salmon fettuccini. We paired it with some wine. Delicious pasta and very true italian food. The pasta was fresh to the point it was probably made in house. I was so full off of half of the plate; my boyfriend finished his order. The ambiance is quite picturesque and great for a date night"
64,"Quality food and quality time. The ambiance and service is top tier. This place almost felt hidden and tucked away, which was relaxing.Ordered the burrata, calamari and truffle fries for an appetizer. For our main dishes we shared the chicken Parmesan & lobster ravioli.Appetizers were all great. The calamari was the best of course, just a tad bit salty! The star of the show for me was the chicken Parmesan. I will 10000% be back for that dish alone if not just to feel tucked away in the city.I would skip the lobster ravioli. The pasta was undercooked, not too much lobster for the cost."
65,"Bottega surprisingly had dishes that seemed unique to other italian restaurants I've been to. The interior was pretty dark and they actually have these table lamps that they turn on for you, with just a bit of ambiance on the ceilings and walls. I got a seat with my two friends in the back corner so I didn't have too much incentive to look around. It was the day before Thanksgiving so maybe we got really lucky with the timing and managed to get a seat. By the time we were done, the restaurant was about to fill up.Their complimentary bread is very good. If I go to a restaurant and I enjoy their bread, it speaks volumes from my perspective. They have dried tomato in some of the pieces which adds a light kick. Olive oil on the side if thats your thing.I got the salmon fettuccine and it was pleasantly soft to bite into the salmon. Most of the time I get a salmon dish at italian restaurant, I often get displeased that the fish has been cooked too long. Then again, not my recipe. They add this sauce which they refer to as 'pink' and I'd say it makes the whole dish creamier. Not too bland, and not too overpowering. Really enjoyed it. I didn't try the other dishes but I didn't even recognize that my friend got ravioli so A+ for how their dishes stand out! The two tables next to me had my head turned every so often to look at the dish they ordered.I'd say if you are in the area and are craving some italian food, definitely try this spot out! I'd come again on a date for sure. The service here is excellent as well since they often come to check up on you."
66,"This is truly a beautiful restaurant with gorgeous pink hues and floral accents.The complimentary bread, a rare treat nowadays, was quite good. Our waiter made ordering our meals such a breeze by offering  insightful recommendations. I opted for the Mezzemaniche Boscaiola with pink sauce, it was so delicious! The staff's thoughtful gesture of singing Happy Birthday for my friend's birthday and presenting a complimentary panna cotta added a thoughtful and sweet touch to the overall experience."
67,"this place is perfect for a date night or lunch out with friends! The Salmon fettuccine and prosciutto burrata pizza were great! We had a big party of 18 and they were able to accommodate us since we called and made a reservation ahead. The staff here is amazing, friendly and helpful! the restaurant is decorated very nicely. Definitely recommend this place!"
68,"I mean... come on, if you walk pass this place, you are instantly sucked in by the open concept giving you a full view of their bar and alcohol selection with the aromas of delicious food being cooked and served. Bottega has always been recommended by my coworkers so I had an opportunity to take the family a few weeks back. Nicky, our server, was so welcoming by treating us like we were regulars. She made recommendations, told us the special of the day, and also took note of our daughter's food allergies. Kids were being basic yet again, ordering a pasta with butter and another one with meatballs. My wife and I shared calamari fritti, lasagna and they were kind enough to split the branzino for us. Food was fantastic with the branzino being the highlight of our dining experience. Fish was cooked to perfection, capers and potatoes were a nice touch, and everything was seasoned perfectly! I would come back just for this!Cocktails were tasty and beautiful... solid wine selection as well! Thank you Nicky for making us feel so welcomed!"
69,"Bottega is a busy, colorful restaurant in the Mission offering a menu of Italian dishes including antipasti, pasta, and pinsa (Roman pizza). Our server Nicky (from Milan!) was super friendly and passionate about the food and gave us plenty of suggestions from the menu. We started with a basket of complimentary soft focaccia bread, followed by Burrata alla Caprese, a creamy round of Burrata cheese with arugula, basil, sliced tomatoes, and balsamic vinegar; Polpette al Sugo, homemade meatballs in tomato sauce; Cavoletti di Bruxelles, marinaded fried Brussels sprouts topped with pecorino; and Calamari Fritti, calamari and mixed vegetables (onions, peppers, zucchini) fried in a farro flour batter and served with aioli for dipping. Of the appetizers, I especially liked the meatballs with tomato sauce (dipped with some bread), and the crunchy calamari and vegetables, but everything was delicious and beautifully presented. The theme of our entrees was truffles, and I tried the Fettuccine with Black Truffle Cream, and the Tartufata Pinsa, a Roman-style pizza made with a light, airy, crispy crust topped with fior di latte, wild mushrooms, black truffle cream, and shaved Grana Padano cheese. This pizza was pure decadence, and the deep truffle aroma paired perfectly with the unctuous, umami cheese! Overall, this was a great restaurant with a fun vibe, delicious food, and reasonable prices. They don't take reservations, but it wasn't hard to snag a table at this casual eatery."
70,"The interior of this restaurant is so beautiful! It was well sun lit inside and we were seated immediately on a Sunday afternoon.We ended up getting the Gnocchi with Bolognese, the daily Pasta Special which included a variety of seafood with a tomato sauce (our personal favorite!) and the Mezzemaniche Boscaiola with the pink sauce. The pastas were really tasty but we made the mistake of ordering 3 tomato based pastas instead of trying a white sauce haha. Another thing to note is that the Bolognese sauce is an additional cost! We ordered the Gnocchi thinking the Bolognese was one of the choices of sauces included in the price, as the menu doesn't make it clear, and it ended up being an additional $6 on top of the $19."
71,"Ambiance :5/5Food:3.5/5Service: 5/5Food came out accordingly but I feel that the busser or table runners planned to charge us for water. Instead of giving us regular table water they gave us a bottle when we first sat down and was charged for it without our knowledge. Felt sus. We had to pay it in the end bc we ended up drinking it. Our server was great and super helpful and looked even confused why we were given a bottle before she arrived to our table. Ambiance was very nice and lots of decor. Pasta was all fresh and delicious, one spaghetti and meatball dish our table ordered was a little undercooked but he didn't bring it up. Burrata and crab cakes were delicious. I had the rigatoni and it was great texture and flavor, the lobster ravioli was great in terms of sauce and texture. The margarita pizza was a little bit of a disappointment, it came out a regular cheese pizza instead with one basil leaf to distinguish it as such."
72,"I came to visit Bottega for a date night. It was our first time at the restaurant and we ordered the pasta. We were about to try a build your own pasta and the waiter recommended that the combinations we had simply did not work. Since they were confident on their word, we asked for a recommendation and opted for the salmon fettuccini. We paired it with some wine. Delicious pasta and very true italian food. The pasta was fresh to the point it was probably made in house. I was so full off of half of the plate; my boyfriend finished his order. The ambiance is quite picturesque and great for a date night"
73,"Quality food and quality time. The ambiance and service is top tier. This place almost felt hidden and tucked away, which was relaxing.Ordered the burrata, calamari and truffle fries for an appetizer. For our main dishes we shared the chicken Parmesan & lobster ravioli.Appetizers were all great. The calamari was the best of course, just a tad bit salty! The star of the show for me was the chicken Parmesan. I will 10000% be back for that dish alone if not just to feel tucked away in the city.I would skip the lobster ravioli. The pasta was undercooked, not too much lobster for the cost."
74,"Bottega surprisingly had dishes that seemed unique to other italian restaurants I've been to. The interior was pretty dark and they actually have these table lamps that they turn on for you, with just a bit of ambiance on the ceilings and walls. I got a seat with my two friends in the back corner so I didn't have too much incentive to look around. It was the day before Thanksgiving so maybe we got really lucky with the timing and managed to get a seat. By the time we were done, the restaurant was about to fill up.Their complimentary bread is very good. If I go to a restaurant and I enjoy their bread, it speaks volumes from my perspective. They have dried tomato in some of the pieces which adds a light kick. Olive oil on the side if thats your thing.I got the salmon fettuccine and it was pleasantly soft to bite into the salmon. Most of the time I get a salmon dish at italian restaurant, I often get displeased that the fish has been cooked too long. Then again, not my recipe. They add this sauce which they refer to as 'pink' and I'd say it makes the whole dish creamier. Not too bland, and not too overpowering. Really enjoyed it. I didn't try the other dishes but I didn't even recognize that my friend got ravioli so A+ for how their dishes stand out! The two tables next to me had my head turned every so often to look at the dish they ordered.I'd say if you are in the area and are craving some italian food, definitely try this spot out! I'd come again on a date for sure. The service here is excellent as well since they often come to check up on you."
75,"This is truly a beautiful restaurant with gorgeous pink hues and floral accents.The complimentary bread, a rare treat nowadays, was quite good. Our waiter made ordering our meals such a breeze by offering  insightful recommendations. I opted for the Mezzemaniche Boscaiola with pink sauce, it was so delicious! The staff's thoughtful gesture of singing Happy Birthday for my friend's birthday and presenting a complimentary panna cotta added a thoughtful and sweet touch to the overall experience."
76,"this place is perfect for a date night or lunch out with friends! The Salmon fettuccine and prosciutto burrata pizza were great! We had a big party of 18 and they were able to accommodate us since we called and made a reservation ahead. The staff here is amazing, friendly and helpful! the restaurant is decorated very nicely. Definitely recommend this place!"
77,"I mean... come on, if you walk pass this place, you are instantly sucked in by the open concept giving you a full view of their bar and alcohol selection with the aromas of delicious food being cooked and served. Bottega has always been recommended by my coworkers so I had an opportunity to take the family a few weeks back. Nicky, our server, was so welcoming by treating us like we were regulars. She made recommendations, told us the special of the day, and also took note of our daughter's food allergies. Kids were being basic yet again, ordering a pasta with butter and another one with meatballs. My wife and I shared calamari fritti, lasagna and they were kind enough to split the branzino for us. Food was fantastic with the branzino being the highlight of our dining experience. Fish was cooked to perfection, capers and potatoes were a nice touch, and everything was seasoned perfectly! I would come back just for this!Cocktails were tasty and beautiful... solid wine selection as well! Thank you Nicky for making us feel so welcomed!"
78,"Bottega is a busy, colorful restaurant in the Mission offering a menu of Italian dishes including antipasti, pasta, and pinsa (Roman pizza). Our server Nicky (from Milan!) was super friendly and passionate about the food and gave us plenty of suggestions from the menu. We started with a basket of complimentary soft focaccia bread, followed by Burrata alla Caprese, a creamy round of Burrata cheese with arugula, basil, sliced tomatoes, and balsamic vinegar; Polpette al Sugo, homemade meatballs in tomato sauce; Cavoletti di Bruxelles, marinaded fried Brussels sprouts topped with pecorino; and Calamari Fritti, calamari and mixed vegetables (onions, peppers, zucchini) fried in a farro flour batter and served with aioli for dipping. Of the appetizers, I especially liked the meatballs with tomato sauce (dipped with some bread), and the crunchy calamari and vegetables, but everything was delicious and beautifully presented. The theme of our entrees was truffles, and I tried the Fettuccine with Black Truffle Cream, and the Tartufata Pinsa, a Roman-style pizza made with a light, airy, crispy crust topped with fior di latte, wild mushrooms, black truffle cream, and shaved Grana Padano cheese. This pizza was pure decadence, and the deep truffle aroma paired perfectly with the unctuous, umami cheese! Overall, this was a great restaurant with a fun vibe, delicious food, and reasonable prices. They don't take reservations, but it wasn't hard to snag a table at this casual eatery."
79,"Ordered to go on Yelp so unsure of ambiance. Delivered fast. I did the build your own pasta. I did the rigatoni with garlic, chicken, and pink pasta. The pasta was Al dente for sure. Barely taste the garlic: chicken was dry. Pink pasta sauce taste store bought like or like frozen food. The second one was the Ravioli, garlic, mushroom, onion, Italian sausage, and bolognese sauce. Ravioli is good. Didn't see any onions and i paid extra, barely 4 slices piece of mushroom and paid $2 extra, no garlic flavor,  but there was a lot of Italian sausage pieces. Sausage is bland. The sauce basically taste like spaghetti O ravioli sauce the one you can buy at Walmart. Most likely would never order from here again. Doesn't taste fresh, authentic, or has much flavor. Didn't come with utensils, so make sure to ask for it."
80,"Ambiance :5/5Food:3.5/5Service: 5/5Food came out accordingly but I feel that the busser or table runners planned to charge us for water. Instead of giving us regular table water they gave us a bottle when we first sat down and was charged for it without our knowledge. Felt sus. We had to pay it in the end bc we ended up drinking it. Our server was great and super helpful and looked even confused why we were given a bottle before she arrived to our table. Ambiance was very nice and lots of decor. Pasta was all fresh and delicious, one spaghetti and meatball dish our table ordered was a little undercooked but he didn't bring it up. Burrata and crab cakes were delicious. I had the rigatoni and it was great texture and flavor, the lobster ravioli was great in terms of sauce and texture. The margarita pizza was a little bit of a disappointment, it came out a regular cheese pizza instead with one basil leaf to distinguish it as such."
81,"I came to visit Bottega for a date night. It was our first time at the restaurant and we ordered the pasta. We were about to try a build your own pasta and the waiter recommended that the combinations we had simply did not work. Since they were confident on their word, we asked for a recommendation and opted for the salmon fettuccini. We paired it with some wine. Delicious pasta and very true italian food. The pasta was fresh to the point it was probably made in house. I was so full off of half of the plate; my boyfriend finished his order. The ambiance is quite picturesque and great for a date night"
82,"Quality food and quality time. The ambiance and service is top tier. This place almost felt hidden and tucked away, which was relaxing.Ordered the burrata, calamari and truffle fries for an appetizer. For our main dishes we shared the chicken Parmesan & lobster ravioli.Appetizers were all great. The calamari was the best of course, just a tad bit salty! The star of the show for me was the chicken Parmesan. I will 10000% be back for that dish alone if not just to feel tucked away in the city.I would skip the lobster ravioli. The pasta was undercooked, not too much lobster for the cost."
83,"Bottega surprisingly had dishes that seemed unique to other italian restaurants I've been to. The interior was pretty dark and they actually have these table lamps that they turn on for you, with just a bit of ambiance on the ceilings and walls. I got a seat with my two friends in the back corner so I didn't have too much incentive to look around. It was the day before Thanksgiving so maybe we got really lucky with the timing and managed to get a seat. By the time we were done, the restaurant was about to fill up.Their complimentary bread is very good. If I go to a restaurant and I enjoy their bread, it speaks volumes from my perspective. They have dried tomato in some of the pieces which adds a light kick. Olive oil on the side if thats your thing.I got the salmon fettuccine and it was pleasantly soft to bite into the salmon. Most of the time I get a salmon dish at italian restaurant, I often get displeased that the fish has been cooked too long. Then again, not my recipe. They add this sauce which they refer to as 'pink' and I'd say it makes the whole dish creamier. Not too bland, and not too overpowering. Really enjoyed it. I didn't try the other dishes but I didn't even recognize that my friend got ravioli so A+ for how their dishes stand out! The two tables next to me had my head turned every so often to look at the dish they ordered.I'd say if you are in the area and are craving some italian food, definitely try this spot out! I'd come again on a date for sure. The service here is excellent as well since they often come to check up on you."
84,"This is truly a beautiful restaurant with gorgeous pink hues and floral accents.The complimentary bread, a rare treat nowadays, was quite good. Our waiter made ordering our meals such a breeze by offering  insightful recommendations. I opted for the Mezzemaniche Boscaiola with pink sauce, it was so delicious! The staff's thoughtful gesture of singing Happy Birthday for my friend's birthday and presenting a complimentary panna cotta added a thoughtful and sweet touch to the overall experience."
85,"this place is perfect for a date night or lunch out with friends! The Salmon fettuccine and prosciutto burrata pizza were great! We had a big party of 18 and they were able to accommodate us since we called and made a reservation ahead. The staff here is amazing, friendly and helpful! the restaurant is decorated very nicely. Definitely recommend this place!"
86,"I mean... come on, if you walk pass this place, you are instantly sucked in by the open concept giving you a full view of their bar and alcohol selection with the aromas of delicious food being cooked and served. Bottega has always been recommended by my coworkers so I had an opportunity to take the family a few weeks back. Nicky, our server, was so welcoming by treating us like we were regulars. She made recommendations, told us the special of the day, and also took note of our daughter's food allergies. Kids were being basic yet again, ordering a pasta with butter and another one with meatballs. My wife and I shared calamari fritti, lasagna and they were kind enough to split the branzino for us. Food was fantastic with the branzino being the highlight of our dining experience. Fish was cooked to perfection, capers and potatoes were a nice touch, and everything was seasoned perfectly! I would come back just for this!Cocktails were tasty and beautiful... solid wine selection as well! Thank you Nicky for making us feel so welcomed!"
87,"Bottega is a busy, colorful restaurant in the Mission offering a menu of Italian dishes including antipasti, pasta, and pinsa (Roman pizza). Our server Nicky (from Milan!) was super friendly and passionate about the food and gave us plenty of suggestions from the menu. We started with a basket of complimentary soft focaccia bread, followed by Burrata alla Caprese, a creamy round of Burrata cheese with arugula, basil, sliced tomatoes, and balsamic vinegar; Polpette al Sugo, homemade meatballs in tomato sauce; Cavoletti di Bruxelles, marinaded fried Brussels sprouts topped with pecorino; and Calamari Fritti, calamari and mixed vegetables (onions, peppers, zucchini) fried in a farro flour batter and served with aioli for dipping. Of the appetizers, I especially liked the meatballs with tomato sauce (dipped with some bread), and the crunchy calamari and vegetables, but everything was delicious and beautifully presented. The theme of our entrees was truffles, and I tried the Fettuccine with Black Truffle Cream, and the Tartufata Pinsa, a Roman-style pizza made with a light, airy, crispy crust topped with fior di latte, wild mushrooms, black truffle cream, and shaved Grana Padano cheese. This pizza was pure decadence, and the deep truffle aroma paired perfectly with the unctuous, umami cheese! Overall, this was a great restaurant with a fun vibe, delicious food, and reasonable prices. They don't take reservations, but it wasn't hard to snag a table at this casual eatery."
88,"Ordered to go on Yelp so unsure of ambiance. Delivered fast. I did the build your own pasta. I did the rigatoni with garlic, chicken, and pink pasta. The pasta was Al dente for sure. Barely taste the garlic: chicken was dry. Pink pasta sauce taste store bought like or like frozen food. The second one was the Ravioli, garlic, mushroom, onion, Italian sausage, and bolognese sauce. Ravioli is good. Didn't see any onions and i paid extra, barely 4 slices piece of mushroom and paid $2 extra, no garlic flavor,  but there was a lot of Italian sausage pieces. Sausage is bland. The sauce basically taste like spaghetti O ravioli sauce the one you can buy at Walmart. Most likely would never order from here again. Doesn't taste fresh, authentic, or has much flavor. Didn't come with utensils, so make sure to ask for it."
89,"I highly recommend a daytime visit to Bottega to immerse yourself in its enchanting interior, featuring captivating pink hues, wood finishes, rose gold accents, cascading flowers, and exposed brick--a perfect backdrop for dressing up and capturing beautiful moments.The food was yummy, and my friends enjoyed their meals too. I ordered garlic bread which was perfectly seasoned -- not too much, or too little. I also enjoyed my gnocchi with pesto sauce.  The pesto sauce was made into a perfectly creamy blend and not oily/greasy. Gnocchi can oftentimes be a rich and heavy dish, but they somehow made it light. The service was kind, and attentive. My water glass was always full. We were regularly offered refills of complimentary bread, and this bread was so soft, warm, and flavorful. It was a highlight on its own for me. Additionally, the wait staff surprised me with a happy birthday song, and panna cotta with a candle. Sooo thoughtful, and brought a smile to my face. Thank you!"
90,"I came to visit Bottega for a date night. It was our first time at the restaurant and we ordered the pasta. We were about to try a build your own pasta and the waiter recommended that the combinations we had simply did not work. Since they were confident on their word, we asked for a recommendation and opted for the salmon fettuccini. We paired it with some wine. Delicious pasta and very true italian food. The pasta was fresh to the point it was probably made in house. I was so full off of half of the plate; my boyfriend finished his order. The ambiance is quite picturesque and great for a date night"
91,"Quality food and quality time. The ambiance and service is top tier. This place almost felt hidden and tucked away, which was relaxing.Ordered the burrata, calamari and truffle fries for an appetizer. For our main dishes we shared the chicken Parmesan & lobster ravioli.Appetizers were all great. The calamari was the best of course, just a tad bit salty! The star of the show for me was the chicken Parmesan. I will 10000% be back for that dish alone if not just to feel tucked away in the city.I would skip the lobster ravioli. The pasta was undercooked, not too much lobster for the cost."
92,"Bottega surprisingly had dishes that seemed unique to other italian restaurants I've been to. The interior was pretty dark and they actually have these table lamps that they turn on for you, with just a bit of ambiance on the ceilings and walls. I got a seat with my two friends in the back corner so I didn't have too much incentive to look around. It was the day before Thanksgiving so maybe we got really lucky with the timing and managed to get a seat. By the time we were done, the restaurant was about to fill up.Their complimentary bread is very good. If I go to a restaurant and I enjoy their bread, it speaks volumes from my perspective. They have dried tomato in some of the pieces which adds a light kick. Olive oil on the side if thats your thing.I got the salmon fettuccine and it was pleasantly soft to bite into the salmon. Most of the time I get a salmon dish at italian restaurant, I often get displeased that the fish has been cooked too long. Then again, not my recipe. They add this sauce which they refer to as 'pink' and I'd say it makes the whole dish creamier. Not too bland, and not too overpowering. Really enjoyed it. I didn't try the other dishes but I didn't even recognize that my friend got ravioli so A+ for how their dishes stand out! The two tables next to me had my head turned every so often to look at the dish they ordered.I'd say if you are in the area and are craving some italian food, definitely try this spot out! I'd come again on a date for sure. The service here is excellent as well since they often come to check up on you."
93,"This is truly a beautiful restaurant with gorgeous pink hues and floral accents.The complimentary bread, a rare treat nowadays, was quite good. Our waiter made ordering our meals such a breeze by offering  insightful recommendations. I opted for the Mezzemaniche Boscaiola with pink sauce, it was so delicious! The staff's thoughtful gesture of singing Happy Birthday for my friend's birthday and presenting a complimentary panna cotta added a thoughtful and sweet touch to the overall experience."
94,"this place is perfect for a date night or lunch out with friends! The Salmon fettuccine and prosciutto burrata pizza were great! We had a big party of 18 and they were able to accommodate us since we called and made a reservation ahead. The staff here is amazing, friendly and helpful! the restaurant is decorated very nicely. Definitely recommend this place!"
95,"I mean... come on, if you walk pass this place, you are instantly sucked in by the open concept giving you a full view of their bar and alcohol selection with the aromas of delicious food being cooked and served. Bottega has always been recommended by my coworkers so I had an opportunity to take the family a few weeks back. Nicky, our server, was so welcoming by treating us like we were regulars. She made recommendations, told us the special of the day, and also took note of our daughter's food allergies. Kids were being basic yet again, ordering a pasta with butter and another one with meatballs. My wife and I shared calamari fritti, lasagna and they were kind enough to split the branzino for us. Food was fantastic with the branzino being the highlight of our dining experience. Fish was cooked to perfection, capers and potatoes were a nice touch, and everything was seasoned perfectly! I would come back just for this!Cocktails were tasty and beautiful... solid wine selection as well! Thank you Nicky for making us feel so welcomed!"
96,"Bottega is a busy, colorful restaurant in the Mission offering a menu of Italian dishes including antipasti, pasta, and pinsa (Roman pizza). Our server Nicky (from Milan!) was super friendly and passionate about the food and gave us plenty of suggestions from the menu. We started with a basket of complimentary soft focaccia bread, followed by Burrata alla Caprese, a creamy round of Burrata cheese with arugula, basil, sliced tomatoes, and balsamic vinegar; Polpette al Sugo, homemade meatballs in tomato sauce; Cavoletti di Bruxelles, marinaded fried Brussels sprouts topped with pecorino; and Calamari Fritti, calamari and mixed vegetables (onions, peppers, zucchini) fried in a farro flour batter and served with aioli for dipping. Of the appetizers, I especially liked the meatballs with tomato sauce (dipped with some bread), and the crunchy calamari and vegetables, but everything was delicious and beautifully presented. The theme of our entrees was truffles, and I tried the Fettuccine with Black Truffle Cream, and the Tartufata Pinsa, a Roman-style pizza made with a light, airy, crispy crust topped with fior di latte, wild mushrooms, black truffle cream, and shaved Grana Padano cheese. This pizza was pure decadence, and the deep truffle aroma paired perfectly with the unctuous, umami cheese! Overall, this was a great restaurant with a fun vibe, delicious food, and reasonable prices. They don't take reservations, but it wasn't hard to snag a table at this casual eatery."
97,"Ordered to go on Yelp so unsure of ambiance. Delivered fast. I did the build your own pasta. I did the rigatoni with garlic, chicken, and pink pasta. The pasta was Al dente for sure. Barely taste the garlic: chicken was dry. Pink pasta sauce taste store bought like or like frozen food. The second one was the Ravioli, garlic, mushroom, onion, Italian sausage, and bolognese sauce. Ravioli is good. Didn't see any onions and i paid extra, barely 4 slices piece of mushroom and paid $2 extra, no garlic flavor,  but there was a lot of Italian sausage pieces. Sausage is bland. The sauce basically taste like spaghetti O ravioli sauce the one you can buy at Walmart. Most likely would never order from here again. Doesn't taste fresh, authentic, or has much flavor. Didn't come with utensils, so make sure to ask for it."
98,"I highly recommend a daytime visit to Bottega to immerse yourself in its enchanting interior, featuring captivating pink hues, wood finishes, rose gold accents, cascading flowers, and exposed brick--a perfect backdrop for dressing up and capturing beautiful moments.The food was yummy, and my friends enjoyed their meals too. I ordered garlic bread which was perfectly seasoned -- not too much, or too little. I also enjoyed my gnocchi with pesto sauce.  The pesto sauce was made into a perfectly creamy blend and not oily/greasy. Gnocchi can oftentimes be a rich and heavy dish, but they somehow made it light. The service was kind, and attentive. My water glass was always full. We were regularly offered refills of complimentary bread, and this bread was so soft, warm, and flavorful. It was a highlight on its own for me. Additionally, the wait staff surprised me with a happy birthday song, and panna cotta with a candle. Sooo thoughtful, and brought a smile to my face. Thank you!"
99,Pizza here is one of the best out in the mission! Make sure to get the lasagna instead though because this will blow your mind awayyyy
100,"Quality food and quality time. The ambiance and service is top tier. This place almost felt hidden and tucked away, which was relaxing.Ordered the burrata, calamari and truffle fries for an appetizer. For our main dishes we shared the chicken Parmesan & lobster ravioli.Appetizers were all great. The calamari was the best of course, just a tad bit salty! The star of the show for me was the chicken Parmesan. I will 10000% be back for that dish alone if not just to feel tucked away in the city.I would skip the lobster ravioli. The pasta was undercooked, not too much lobster for the cost."
101,"Bottega surprisingly had dishes that seemed unique to other italian restaurants I've been to. The interior was pretty dark and they actually have these table lamps that they turn on for you, with just a bit of ambiance on the ceilings and walls. I got a seat with my two friends in the back corner so I didn't have too much incentive to look around. It was the day before Thanksgiving so maybe we got really lucky with the timing and managed to get a seat. By the time we were done, the restaurant was about to fill up.Their complimentary bread is very good. If I go to a restaurant and I enjoy their bread, it speaks volumes from my perspective. They have dried tomato in some of the pieces which adds a light kick. Olive oil on the side if thats your thing.I got the salmon fettuccine and it was pleasantly soft to bite into the salmon. Most of the time I get a salmon dish at italian restaurant, I often get displeased that the fish has been cooked too long. Then again, not my recipe. They add this sauce which they refer to as 'pink' and I'd say it makes the whole dish creamier. Not too bland, and not too overpowering. Really enjoyed it. I didn't try the other dishes but I didn't even recognize that my friend got ravioli so A+ for how their dishes stand out! The two tables next to me had my head turned every so often to look at the dish they ordered.I'd say if you are in the area and are craving some italian food, definitely try this spot out! I'd come again on a date for sure. The service here is excellent as well since they often come to check up on you."
102,"This is truly a beautiful restaurant with gorgeous pink hues and floral accents.The complimentary bread, a rare treat nowadays, was quite good. Our waiter made ordering our meals such a breeze by offering  insightful recommendations. I opted for the Mezzemaniche Boscaiola with pink sauce, it was so delicious! The staff's thoughtful gesture of singing Happy Birthday for my friend's birthday and presenting a complimentary panna cotta added a thoughtful and sweet touch to the overall experience."
103,"this place is perfect for a date night or lunch out with friends! The Salmon fettuccine and prosciutto burrata pizza were great! We had a big party of 18 and they were able to accommodate us since we called and made a reservation ahead. The staff here is amazing, friendly and helpful! the restaurant is decorated very nicely. Definitely recommend this place!"
